nombre,categoria,precio,cantidad,descripcion,oferta,destacado
TRIDENT MENTA LAMINA,CARAMELOS Y GOLOSINAS,0.8,24.0,,,no
TRIDENT ORAL B HIERBABUENA,CARAMELOS Y GOLOSINAS,1.0,15.0,,,no
TRIDENT SENSES,CARAMELOS Y GOLOSINAS,1.0,12.0,,,no
TRIDENT SENSES MORA,CARAMELOS Y GOLOSINAS,1.0,10.0,,,no
TRIDENT SENSES SANDIA,CARAMELOS Y GOLOSINAS,1.0,11.0,,,no
TRIDENT SENSES TROPICAL,CARAMELOS Y GOLOSINAS,1.0,11.0,,,no
TUBOS LACASITOS,CARAMELOS Y GOLOSINAS,1.0,26.0,,,no
TURBO EGG,CARAMELOS Y GOLOSINAS,2.0,10.0,,,no
TWIX SINGLE,DULCES Y BOLLERIA,0.95,14.0,,,no
WATER MACHINE,CARAMELOS Y GOLOSINAS,1.6,18.0,,,no
WEIKIS LECHE,DULCES Y BOLLERIA,1.5,3.0,,,no
